매물종류,소재지(1),소재지(2),소재지(3),"면적(연, 토지)",가격,층수(방 수),"진입, 인접도로",이삿날(주차),조회수,제목,장점,url
 ,경기도,파주시,문산읍,"  연  : 2254.56㎡
토지 : 3305.8㎡","매:300,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2017-08-28
1566",,전력_전력수급이 원할합니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=372537&search_mode=mamul_list
 ,경상북도,상주시,낙동면,"  연  : 3636.38㎡
토지 : 8595.08㎡","매:220,000만","총1층 / 1층
방수 0개",편도 2차선,주차 가능,"2017-08-13
1374",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=371949&search_mode=mamul_list
 ,경상남도,김해시,진례면,"  연  : 3900.84㎡
토지 : 2644.64㎡","매:240,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2017-08-03
1048",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=372037&search_mode=mamul_list
 ,경상북도,영천시,북안면,"  연  : 1817.79㎡
토지 : 4588㎡","매:210,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2017-07-05
1763",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=369526&search_mode=mamul_list
 ,전라남도,보성군,벌교읍,"  연  : 800㎡
토지 : 2433㎡","매:65,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 불가,"2017-07-02
3098",,용수공급_전체용수공급능력이 높습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=369447&search_mode=mamul_list
 ,경기도,동두천시,상패동,"  연  : 3262.82㎡
토지 : 3262.82㎡","매:108,000만","총1층 / 1층
방수 0개",5m 도로,주차 가능,"2017-06-19
1925",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=371023&search_mode=mamul_list
 ,충청남도,서산시,갈산동,"  연  : 264.46㎡
토지 : 66.12㎡","전:2,000만","총1층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2017-06-18
1395",,관공서_법원이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368355&search_mode=mamul_list
 ,경상북도,경산시,자인면,"  연  : 1421.49㎡
토지 : 3966.96㎡","매:250,000만","총2층 / 2층
방수 0개",5m 도로,주차 가능,"2017-05-29
1674",,교통환경_버스정류장이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=370508&search_mode=mamul_list
 ,경상북도,성주군,선남면,"  연  : 1976.26㎡
토지 : 6297.55㎡","매:300,000만","총1층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2017-05-11
2810",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368404&search_mode=mamul_list
 ,경기도,여주시,연라동,"  연  : 3740㎡
토지 : 17849㎡","매:500,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2017-05-09
1630",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=339162&search_mode=mamul_list
 ,경기도,시흥시,월곶동,"  연  : 552.07㎡
토지 : 552.07㎡","매:65,000만","총1층 / 1층
방수 0개",편도 1차선,"2017--
주차 가능","2017-05-05
5848",,교통환경_전철역이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368309&search_mode=mamul_list
 ,충청남도,예산군,신암면,"  연  : 2488.95㎡
토지 : 5183.49㎡","매:110,000만","총2층 / 건물전체층
방수 0개",5m 도로,주차 가능,"2017-04-04
2898",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=366022&search_mode=mamul_list
 ,경상남도,양산시,상북면,"  연  : 136.53㎡
토지 : 836.37㎡","매:23,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2017-03-18
869",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=369153&search_mode=mamul_list
 ,충청북도,충주시,용탄동,"  연  : 5031.43㎡
토지 : 6178.54㎡","매:300,000만","총1층 / 1층
방수 0개",편도 1차선,주차 불가,"2017-03-06
913",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368833&search_mode=mamul_list
 ,경상북도,고령군,개진면,"  연  : 396.7㎡
토지 : 1322.32㎡","매:66,000만","총1층 / 1층
방수 0개",5m 도로,주차 가능,"2017-03-06
1018",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368829&search_mode=mamul_list
 ,대구광역시,달성군,다사읍,"  연  : 442.98㎡
토지 : 991.74㎡","매:100,000만","총1층 / 1층
방수 0개",4m 도로,주차 가능,"2017-02-17
1311",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368550&search_mode=mamul_list
 ,경상남도,창원시,성산구,"  연  : 441㎡
토지 : 253㎡","매:40,000만","총12층 / 8층
방수 0개",편도 3차선,주차 가능,"2017-02-16
1612",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368524&search_mode=mamul_list
 ,전라남도,영광군,백수읍,"  연  : 2247.94㎡
토지 : 7771㎡","매:140,000만","총1층 / 1층
방수 0개",5m 도로,주차 가능,"2017-02-09
1372",,해당사항 없습니다,https://www.bd119.com/realty/realty_detail.asp?regnumber=368409&search_mode=mamul_list
 ,경상북도,구미시,진평동,"  연  : 26500㎡
토지 : 85759㎡","매:2,260,000만","총1층 / 1층
방수 0개",편도 4차선,주차 가능,"2017-01-25
2585",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=367326&search_mode=mamul_list
 ,경상남도,양산시,유산동,"  연  : 1130.58㎡
토지 : 1654㎡","매:170,000만","총1층 / 2층
방수 0개",3m 도로,주차 가능,"2017-01-23
1784",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368122&search_mode=mamul_list
 ,전라북도,완주군,봉동읍,"  연  : 495.87㎡
토지 : 1656.21㎡","매:30,000만","총1층 / 1층
방수 0개",4m 도로,주차 가능,"2017-01-18
1357",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=368055&search_mode=mamul_list
 ,충청남도,천안시,서북구,"  연  : 3649.6㎡
토지 : 8925.66㎡","매:300,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2017-01-11
905",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=367925&search_mode=mamul_list
 ,경기도,용인시,처인구,"  연  : 1014.88㎡
토지 : 2628.11㎡","매:145,000만","총2층 / 2층
방수 0개",5m 도로,#NAME?,"2017-01-02
2309",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=361004&search_mode=mamul_list
 ,경상북도,구미시,진평동,"  연  : 28099.3㎡
토지 : 85755.76㎡","매:2,260,000만","총3층 / 3층
방수 0개",편도 4차선,주차 가능,"2016-12-29
844",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=367734&search_mode=mamul_list
 ,경기도,여주시,산북면,"  연  : 495.87㎡
토지 : 1818.19㎡","매:185,000만","총2층 / 건물전체층
방수 0개",편도 1차선,#NAME?,"2016-12-28
3714",,용수공급_전체용수공급능력이 높습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=366157&search_mode=mamul_list
 ,세종특별자치시,세종시,금남면,"  연  : 495.87㎡
토지 : 571.9㎡","매:85,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2016-12-27
1102",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=367707&search_mode=mamul_list
 ,부산광역시,금정구,회동동,"  연  : 2644.64㎡
토지 : 1983.48㎡","매:390,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2016-12-22
1982",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=367641&search_mode=mamul_list
 ,부산광역시,사상구,삼락동,"  연  : 6604.99㎡
토지 : 4409.94㎡","매:1,467,061만","총3층 / 건물전체층
방수 0개",편도 2차선,주차 가능,"2016-12-22
962",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=367640&search_mode=mamul_list
 ,경기도,용인시,처인구,"  연  : 991.74㎡
토지 : 3206.63㎡","매:190,000만","총1층 / 2층
방수 0개",편도 1차선,주차 가능,"2016-11-16
1315",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=366591&search_mode=mamul_list
 ,경기도,광주시,초월읍,"  연  : 528.93㎡
토지 : 1752.07㎡","매:150,000만","총2층 / 2층
방수 0개",편도 1차선,주차 가능,"2016-10-28
2247",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=365273&search_mode=mamul_list
 ,충청남도,당진시,석문면,"  연  : 214.88㎡
토지 : 1834.72㎡","매:19,000만","총1층 / 1층
방수 0개",3m 도로,주차 가능,"2016-10-22
1868",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=363140&search_mode=mamul_list
 ,경상북도,구미시,산동면,"  연  : 10669.46㎡
토지 : 6726.64㎡","매:380,000만","총3층 / 건물전체층
방수 0개",편도 3차선,주차 가능,"2016-10-19
1043",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=366524&search_mode=mamul_list
 ,경상남도,함안군,군북면,"  연  : 3092.39㎡
토지 : 10247.98㎡","매:350,000만","총1층 / 건물전체층
방수 0개",5m 도로,주차 가능,"2016-09-21
1647",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=365997&search_mode=mamul_list
 ,충청북도,제천시,강제동,"  연  : 1913.4㎡
토지 : 1913.4㎡","매:120,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2016-09-13
1976",,터미널_버스터미널이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=364501&search_mode=mamul_list
 ,인천광역시,서구,원창동,"  연  : 1460㎡
토지 : 2156㎡","매:390,000만","총3층 / 3층
방수 0개",편도 4차선,주차 불가,"2016-07-25
1396",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=365210&search_mode=mamul_list
 ,충청남도,논산시,연산면,"  연  : 158㎡
토지 : 331㎡","매:16,500만","총1층 / 1층
방수 0개",편도 1차선,#NAME?,"2016-06-29
1662",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=364760&search_mode=mamul_list
 ,충청남도,천안시,서북구,"  연  : 1024㎡
토지 : 2603㎡","매:150,000만","총1층 / 1층
방수 0개",4m 도로,주차 가능,"2016-06-29
1484",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=364782&search_mode=mamul_list
 ,경상남도,밀양시,산내면,"  연  : 2433㎡
토지 : 3361㎡","매:200,000만","총3층 / 3층
방수 0개",편도 1차선,주차 가능,"2016-06-28
1728",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=363989&search_mode=mamul_list
 ,경기도,안성시,삼죽면,"  연  : 2724㎡
토지 : 15184㎡","매:320,000만","총1층 / 1층
방수 0개",4m 도로,주차 가능,"2016-06-23
3858",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=363896&search_mode=mamul_list
 ,경기도,평택시,포¹읍,"  연  : 727.28㎡
토지 : 3834.73㎡","매:147,000만","총1층 / 건물전체층
방수 0개",4m 도로,주차 가능,"2016-06-12
1396",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=364373&search_mode=mamul_list
 ,부산광역시,기장군,정관읍,"  연  : 8065.82㎡
토지 : 8065.82㎡","매:630,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2016-06-12
1373",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=363784&search_mode=mamul_list
 ,경상남도,밀양시,삼랑진읍,"  연  : 4829.77㎡
토지 : 13137.25㎡","매:840,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2016-06-03
1056",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=364105&search_mode=mamul_list
 ,부산광역시,부산진구,개금동,"  연  : 511.1㎡
토지 : 511.1㎡","전:3,000만","총12층 / 지하1층
방수 0개",편도 7차선,주차 가능,"2016-05-24
2538",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=361962&search_mode=mamul_list
 ,충청남도,태안군,태안읍,"  연  : 4009.94㎡
토지 : 1325㎡","매:95,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2016-04-29
1443",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=363505&search_mode=mamul_list
 ,경상북도,문경시,동로면,"  연  : 1566㎡
토지 : 2738㎡","매:250,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2016-02-25
2083",,용수공급_전체용수공급능력이 높습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=361133&search_mode=mamul_list
 ,울산광역시,북구,달천동,"  연  : 1496㎡
토지 : 1670㎡","매:155,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2016-02-12
1913",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=362084&search_mode=mamul_list
 ,경상남도,김해시,주촌면,"  연  : 4466.14㎡
토지 : 7596.73㎡","매:430,000만","총2층 / 2층
방수 0개",편도 1차선,주차 가능,"2016-01-09
1826",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=361495&search_mode=mamul_list
 ,충청북도,진천군,진천읍,"  연  : 694.21㎡
토지 : 2842.98㎡","매:70,000만","총2층 / 건물전체층
방수 0개",4m 도로,주차 가능,"2016-01-07
1247",,터미널_버스터미널이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=361548&search_mode=mamul_list
 ,충청남도,아산시,선장면,"  연  : 2436.53㎡
토지 : 6395㎡","매:200,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-12-30
1787",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=359797&search_mode=mamul_list
 ,전라북도,군산시,소룡동,"  연  : 3471.09㎡
토지 : 5752.09㎡","매:220,000만","총2층 / 2층
방수 0개",편도 2차선,주차 가능,"2015-10-14
1970",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=360144&search_mode=mamul_list
 ,경상북도,성주군,선남면,"  연  : 3876㎡
토지 : 1724.85㎡","매:160,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-09-07
3288",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357395&search_mode=mamul_list
 ,충청남도,금산군,복수면,"  연  : 390.08㎡
토지 : 4099.19㎡","매:98,000만","총1층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-09-03
2969",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357182&search_mode=mamul_list
 ,경기도,수원시,영통구,"  연  : 466.12㎡
토지 : 287.6㎡","매:37,000만","총20층 / 지하1층
방수 0개",편도 1차선,주차 가능,"2015-08-25
1634",,교통환경_전철역이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=359123&search_mode=mamul_list
 ,제주특별자치도,서귀포시,서귀동,"  연  : 165.29㎡
토지 : 277.69㎡","매:42,000만","총1층 / 건물전체층
방수 0개",편도 1차선,주차 불가,"2015-08-12
790",,해당사항 없습니다,https://www.bd119.com/realty/realty_detail.asp?regnumber=236043&search_mode=mamul_list
 ,경기도,화성시,장안면,"  연  : 449.59㎡
토지 : 2350.42㎡","매:107,000만","총1층 / 1층
방수 0개",편도 1차선,주차 불가,"2015-08-11
1358",,전력_전력수급이 원할합니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=358832&search_mode=mamul_list
 ,경기도,광주시,곤지암읍,"  연  : 796.7㎡
토지 : 5920.69㎡","매:380,000만","총1층 / 1층
방수 0개",5m 도로,주차 가능,"2015-07-26
2465",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357701&search_mode=mamul_list
 ,강원도,강릉시,주문진읍,"  연  : 694.22㎡
토지 : 2181.83㎡","매:57,000만","총2층 / 2층
방수 0개",5m 도로,주차 가능,"2015-07-21
1533",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=248795&search_mode=mamul_list
 ,경기도,의정부시,호원동,"  연  : 105.79㎡
토지 : 209.92㎡","매:38,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2015-07-13
1438",,교통환경_전철역이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357286&search_mode=mamul_list
 ,경기도,성남시,수정구,"  연  : 332.5㎡
토지 : 3550.43㎡","매:1,000,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2015-07-08
1651",,전력_전력수급이 원할합니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357968&search_mode=mamul_list
 ,충청남도,천안시,서북구,"  연  : 5342.17㎡
토지 : 4370.27㎡","매:200,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-06-23
943",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357668&search_mode=mamul_list
 ,경상남도,함안군,군북면,"  연  : 15702.55㎡
토지 : 15702.55㎡","매:340,000만","총1층 / 34층
방수 0개",편도 3차선,주차 가능,"2015-06-22
1260",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357629&search_mode=mamul_list
 ,경기도,가평군,설악면,"  연  : 727.28㎡
토지 : 1904.14㎡","매:62,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-06-07
1122",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=357352&search_mode=mamul_list
 ,경기도,부천시,상동,"  연  : 4294.23㎡
토지 : 463㎡","매:13,000만","총5층 / 지하2층
방수 0개",편도 4차선,주차 가능,"2015-06-03
2337",,교통환경_버스정류장이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=235985&search_mode=mamul_list
 ,충청북도,옥천군,동이면,"  연  : 1330.06㎡
토지 : 10876.74㎡","매:290,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-06-03
1699",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=352043&search_mode=mamul_list
 ,강원도,강릉시,사천면,"  연  : 4152.08㎡
토지 : 674.38㎡","매:70,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2015-05-27
2573",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=351125&search_mode=mamul_list
 ,경기도,성남시,분당구,"  연  : 598.35㎡
토지 : 3762㎡","매:280,000만","총1층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-05-02
979",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=350461&search_mode=mamul_list
 ,경상북도,김천시,구성면,"  연  : 8264㎡
토지 : 20620㎡","매:430,000만","총1층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-04-05
2769",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=350072&search_mode=mamul_list
 ,경기도,화성시,정남면,"  연  : 4335㎡
토지 : 12115㎡","매:560,000만","총2층 / 건물전체층
방수 0개",편도 1차선,"-11-30
주차 가능","2015-04-04
2541",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=347415&search_mode=mamul_list
 ,경상남도,남해군,설천면,"  연  : 5377㎡
토지 : 1063.96㎡","매:160,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-03-14
3406",,해당사항 없습니다,https://www.bd119.com/realty/realty_detail.asp?regnumber=351592&search_mode=mamul_list
 ,경상북도,의성군,의성읍,"  연  : 6612㎡
토지 : 6612㎡","매:200,000만","총1층 / 1층
방수 0개",편도 2차선,주차 가능,"2015-03-11
1253",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=351493&search_mode=mamul_list
 ,경기도,용인시,처인구,"  연  : 561.99㎡
토지 : 5477.71㎡","매:250,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2015-02-22
1392",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=349081&search_mode=mamul_list
 ,경기도,파주시,파평면,"  연  : 793.39㎡
토지 : 2439.68㎡","매:65,000만","총1층 / 1층
방수 0개",편도 1차선,주차 불가,"2015-01-27
1426",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=348340&search_mode=mamul_list
 ,경기도,용인시,처인구,"  연  : 1978.5㎡
토지 : 6489㎡","매:400,000만","총2층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2015-01-16
954",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=350288&search_mode=mamul_list
 ,경상북도,영주시,봉현면,"  연  : 4958.7㎡
토지 : 9917.4㎡","매:250,000만","총2층 / 건물전체층
방수 0개",편도 2차선,"2015--
주차 가능","2015-01-16
1427",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=350268&search_mode=mamul_list
 ,서울특별시,금천구,가산동,"  연  : 257.85㎡
토지 : 456.2㎡","매:55,000만","총15층 / 지하1층
방수 0개",편도 1차선,주차 가능,"2014-12-31
706",,교통환경_버스정류장이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=350000&search_mode=mamul_list
 ,경기도,안성시,미양면,"  연  : 5767㎡
토지 : 19450㎡","매:750,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2014-12-25
1417",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=347144&search_mode=mamul_list
 ,경상남도,사천시,노룡동,"  연  : 344.76㎡
토지 : 3201㎡","매:130,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2014-12-19
719",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=345569&search_mode=mamul_list
 ,충청남도,예산군,신암면,"  연  : 1382㎡
토지 : 3146㎡","매:140,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2014-12-05
1096",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=347876&search_mode=mamul_list
 ,강원도,춘천시,후평동,"  연  : 330.58㎡
토지 : 495.87㎡","매:20,000만","총1층 / 1층
방수 0개",편도 2차선,주차 가능,"2014-11-20
1145",,기업공장_산업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=348973&search_mode=mamul_list
 ,전라북도,완주군,봉동읍,"  연  : 6786.81㎡
토지 : 26446.4㎡","매:800,000만","총2층 / 2층
방수 0개",편도 1차선,주차 가능,"2014-10-31
521",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=348283&search_mode=mamul_list
 ,충청북도,청주시,서원구,"  연  : 490㎡
토지 : 3300㎡","매:110,000만","총1층 / 1층
방수 0개",4m 도로,주차 가능,"2014-10-15
670",,해당사항 없습니다,https://www.bd119.com/realty/realty_detail.asp?regnumber=347872&search_mode=mamul_list
 ,전라북도,전주시,덕진구,"  연  : 7175㎡
토지 : 13835㎡",매:0만,"총2층 / 2층
방수 0개",편도 1차선,주차 가능,"2014-10-15
1728",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=345188&search_mode=mamul_list
 ,전라남도,여수시,봉산동,"  연  : 1263㎡
토지 : 219㎡",매:0만,"총2층 / 2층
방수 0개",3m 도로,주차 가능,"2014-10-15
894",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=345187&search_mode=mamul_list
 ,전라남도,나주시,삼영동,"  연  : 330.21㎡
토지 : 1198㎡",매:0만,"총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2014-10-15
1563",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=345149&search_mode=mamul_list
 ,충청남도,청양군,화성면,"  연  : 2142.16㎡
토지 : 6876.06㎡","매:70,000만","총1층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2014-10-14
360",,"폐수,하수처리시설_농공단지폐수처리시설이 가깝습니다.",https://www.bd119.com/realty/realty_detail.asp?regnumber=347824&search_mode=mamul_list
 ,경기도,이천시,마장면,"  연  : 2816.54㎡
토지 : 12221.54㎡",매:0만,"총2층 / 2층
방수 0개",편도 1차선,주차 불가,"2014-10-13
416",,해당사항 없습니다,https://www.bd119.com/realty/realty_detail.asp?regnumber=347756&search_mode=mamul_list
 ,경상남도,함안군,군북면,"  연  : 991.74㎡
토지 : 2985.14㎡","매:100,000만","총1층 / 건물전체층
방수 0개",편도 1차선,#NAME?,"2014-09-16
374",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=346937&search_mode=mamul_list
 ,경기도,김포시,월곶면,"  연  : 4132.25㎡
토지 : 10909.14㎡","매:500,000만","총1층 / 1층
방수 0개",편도 1차선,주차 가능,"2014-08-20
346",,기업공장_공업단지가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=346292&search_mode=mamul_list
 ,경기도,화성시,우정읍,"  연  : 198.35㎡
토지 : 872.73㎡","매:50,000만","총1층 / 1층
방수 0개",편도 2차선,주차 가능,"2014-08-12
559",,도로망_도로가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=346079&search_mode=mamul_list
 ,강원도,원주시,소초면,"  연  : 15206.68㎡
토지 : 15206.68㎡","매:250,000만","총1층 / 1층
방수 0개",편도 1차선,주차 불가,"2014-07-24
2456",,도로망_톨게이트(TG)가 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=327516&search_mode=mamul_list
 ,경기도,화성시,팔탄면,"  연  : 2549㎡
토지 : 3197㎡","매:200,000만","총3층 / 건물전체층
방수 0개",편도 1차선,주차 가능,"2014-07-16
1433",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=345308&search_mode=mamul_list
 ,경기도,이천시,모가면,"  연  : 3966.96㎡
토지 : 3966.96㎡","매:90,000만","총1층 / 1층
방수 0개",5m 도로,주차 가능,"2014-07-02
1514",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=341776&search_mode=mamul_list
 ,충청북도,청원군,남이면,"  연  : 165.29㎡
토지 : 1256.2㎡","매:33,000만","총1층 / 건물전체층
방수 0개",4m 도로,주차 가능,"2014-06-24
1859",,도로망_나들목(IC)이 가깝습니다.,https://www.bd119.com/realty/realty_detail.asp?regnumber=341431&search_mode=mamul_list
