공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,0,0,3,7,3,0,0,10,1,89,31,0,74,24,98,6,307,39
0,3,0,0,3,3,2,0,0,5,1,89,31,0,138,58,197,6,289,39
0,3,0,0,3,3,1,0,0,4,1,89,31,0,85,29,114,6,362,39
0,3,0,0,3,1,1,0,0,2,1,64,31,0,29,0,29,6,339,39
0,3,0,0,3,2,0,0,0,2,1,64,31,0,83,0,83,6,142,39
0,3,2,0,3,1,1,0,0,2,1,89,31,603,478,125,603,6,59,39
0,3,6,0,1,18,2,0,0,20,1,64,31,0,66,37,104,6,341,202
0,3,6,0,3,3,1,0,0,4,1,82,31,0,88,52,140,6,158,39
0,3,0,0,3,4,2,0,1,7,1,64,31,0,34,73,107,6,322,39
0,3,0,0,3,6,1,0,0,7,1,64,31,0,64,36,100,6,324,39
0,3,6,0,4,5,1,0,0,6,1,89,31,0,23,64,87,6,324,39
0,3,8,0,3,0,1,0,0,1,1,71,31,90,30,60,90,6,146,39
0,3,6,0,1,151,138,0,0,289,2,89,31,7481,2237,5144,7381,6,322,39
0,3,0,0,3,1,0,0,0,1,1,64,31,0,18,15,33,6,157,39
0,3,0,0,3,2,0,0,0,2,1,82,31,1671,41,0,41,6,456,39
0,3,2,0,1,9,4,0,0,13,1,76,31,840,157,161,319,6,312,39
0,3,0,1,1,4,1,0,0,5,1,82,31,331,64,35,99,6,307,39
0,3,0,1,1,14,2,0,0,16,1,82,31,589,214,86,301,6,341,39
0,3,0,1,3,5,0,0,0,5,1,82,31,814,406,41,447,6,198,39
0,3,0,1,3,2,4,0,0,6,1,82,31,209,125,125,251,6,127,39
0,3,0,0,3,10,3,0,0,13,1,82,31,401,154,66,220,6,400,39
0,3,0,1,3,2,1,0,0,3,1,82,31,623,75,2,78,6,130,39
0,3,9,0,4,5,5,0,0,10,1,10,0,1017,283,56,340,6,6,39
0,3,9,1,1,13,2,5,0,20,1,89,42,4895,3893,885,4779,6,7,39
0,3,0,1,3,1,4,0,0,5,1,82,31,283,262,0,262,6,7,39
0,6,0,1,1,4,6,0,0,10,1,32,0,4061,670,294,965,6,6,39
0,3,0,1,3,3,0,0,0,3,1,1,31,268,80,3,83,6,190,39
0,3,0,1,4,2,8,0,0,10,1,1,31,1621,400,161,561,6,6,39
0,6,9,1,1,5,10,0,0,15,1,1,0,5008,568,1385,1953,6,8,22
0,3,0,1,4,6,5,0,0,11,1,1,0,4149,1342,1111,2454,6,6,39
0,3,0,1,3,5,1,0,0,6,1,24,14,948,198,122,320,6,21,39
0,3,0,0,3,5,5,0,0,10,1,24,31,1610,363,33,396,6,6,39
0,6,3,1,4,2,0,0,0,2,1,24,14,1774,321,193,515,6,6,22
0,3,0,1,3,1,1,0,0,2,1,24,31,1878,432,56,489,6,6,39
0,3,9,1,1,1,0,0,0,1,1,10,0,2360,493,156,650,6,236,22
0,3,9,0,1,5,0,0,0,5,1,10,0,4958,998,288,1286,6,426,39
0,3,9,1,1,5,16,0,0,21,1,10,0,4191,592,1119,1711,6,5,39
0,3,3,1,4,1,2,0,0,3,1,1,77,2112,551,172,723,6,6,39
0,3,0,1,3,10,8,0,0,18,1,1,0,1646,487,99,587,6,192,39
0,3,0,1,1,5,2,0,0,7,1,1,0,2775,116,555,671,6,8,22
0,3,0,1,1,4,6,0,0,10,1,64,50,921,454,338,792,6,6,22
0,3,0,1,1,8,1,0,0,9,1,45,50,6730,5550,2260,7811,6,8,39
0,3,2,0,1,3,7,2,0,12,1,64,31,3599,495,201,696,6,6,39
0,3,9,1,1,5,0,0,0,5,1,54,48,3363,381,2751,3132,6,47,22
0,3,2,0,1,3,0,0,0,3,1,45,0,1421,869,130,999,6,7,22
0,3,0,1,3,2,5,0,0,7,1,82,31,509,243,42,285,6,6,39
0,3,9,1,1,26,5,0,0,31,1,64,0,9974,2483,1024,3508,6,40,22
0,3,6,0,1,2,6,0,0,8,1,45,0,623,351,380,732,6,8,39
0,3,0,1,1,28,90,0,0,118,2,64,0,11978,8013,1655,9668,6,5,39
0,3,9,1,1,5,34,1,0,40,1,45,31,2149,640,242,883,6,5,39
0,3,9,1,3,9,4,4,1,18,1,82,31,2036,480,440,920,6,35,22
0,3,9,1,3,18,2,0,0,20,1,89,31,761,143,264,407,6,341,39
0,3,9,1,3,1,0,0,0,1,1,89,0,365,225,23,249,6,257,146
0,3,3,1,1,5,0,0,0,5,1,89,31,3303,245,297,543,6,307,146
0,3,0,1,4,4,1,0,0,5,1,54,31,4422,330,35,365,6,142,39
0,3,0,1,3,3,0,0,0,3,1,54,50,775,363,99,463,6,256,39
0,3,9,1,1,1,0,0,0,1,1,54,0,660,259,219,479,6,341,146
0,3,9,1,1,5,1,0,0,6,1,54,0,2000,599,157,756,6,405,39
0,6,9,1,4,7,2,0,0,9,1,54,0,2106,1377,120,1497,6,257,146
0,3,2,0,1,4,1,0,0,5,1,54,14,606,342,91,433,6,257,146
0,3,9,1,1,3,1,0,0,4,1,54,0,1248,1053,282,1335,6,257,39
0,3,0,0,1,4,0,0,0,4,1,54,0,765,351,70,422,6,325,39
0,3,0,1,4,19,2,0,0,21,1,54,0,4150,909,545,1455,6,405,39
0,6,9,1,4,6,0,0,0,6,1,54,0,4959,3332,520,3852,6,393,39
0,3,9,1,4,7,0,0,0,7,1,54,0,1484,927,207,1134,6,393,39
0,3,9,1,1,3,3,0,0,6,1,54,48,2149,474,293,767,6,272,146
0,3,6,0,3,8,0,0,0,8,1,89,92,302,124,56,180,6,365,39
0,3,0,1,1,6,4,0,0,10,1,54,0,1421,378,128,507,6,267,39
0,3,9,1,3,3,1,0,0,4,1,89,0,383,194,202,396,6,341,146
0,3,0,1,4,3,1,0,0,4,1,54,0,813,528,57,586,6,257,146
0,3,0,1,4,7,3,0,0,10,1,54,0,3451,2093,309,2402,6,272,39
0,3,9,1,1,8,2,0,0,10,1,54,0,1565,182,167,350,6,341,146
0,3,2,0,1,5,1,0,0,6,1,54,0,496,267,117,384,6,257,39
0,3,9,1,1,9,1,0,0,10,1,54,0,1964,1269,238,1508,6,257,146
0,3,9,1,4,5,4,0,0,9,1,54,0,2086,818,317,1136,6,393,146
0,3,3,1,4,3,1,0,0,4,1,54,0,1713,1027,62,1089,6,257,39
0,3,9,1,1,10,1,0,0,11,1,54,0,2888,1261,616,1877,6,281,146
0,3,0,1,3,6,2,0,0,8,1,54,0,3697,2180,82,2262,6,229,39
0,3,9,1,1,19,3,0,0,22,1,54,0,3034,977,50,1028,6,257,146
0,3,5,1,1,3,0,0,0,3,1,89,31,439,196,24,220,6,257,39
